customer_id,owner_id
3667,85
2706,68
3647,81
932,77
3973,87
3808,81
2842,18
2923,26
4482,59
782,11
731,31
24,3
1319,76
901,18
2767,14
774,38
4725,30
4674,92
3022,44
2522,63
4315,77
648,46
4797,19
2430,28
4965,91
3647,93
692,64
4295,61
3645,43
2083,67
4647,17
971,62
1948,47
3003,21
4958,89
3409,85
1571,93
1731,84
845,17
3604,96
454,92
996,42
2656,61
4285,46
1824,54
588,60
236,28
2181,84
3172,82
2042,30
3173,70
2391,64
760,34
1259,98
3762,8
1827,60
4516,96
205,87
1147,8
1032,41
3753,94
3216,14
4991,38
3754,56
961,24
3713,3
923,70
2835,44
899,14
1424,42
1061,81
1515,34
715,88
3992,55
2342,21
2873,67
1012,95
992,27
3377,83
817,62
2495,87
47,41
2866,24
3145,31
4278,88
2602,95
770,56
1694,73
4139,51
775,30
2577,46
4600,61
1805,17
962,27
1625,6
1335,79
4495,75
3015,98
3246,17
1809,63
296,27
1944,53
4085,71
4210,55
627,46
2593,91
4214,34
4931,67
291,84
3100,57
1795,64
4342,47
1119,78
4221,96
2005,81
1002,48
4892,21
736,85
1487,25
1998,40
1758,68
4967,94
643,50
3622,58
1086,18
25,55
2695,62
3331,26
4557,28
1010,24
4223,82
2372,12
4574,79
2699,33
3283,90
4178,82
999,72
4031,12
1147,77
4536,83
4039,22
2280,24
82,76
1885,3
1098,26
3384,49
4296,53
2095,95
4826,98
3125,9
1122,7
2286,37
2000,92
1460,27
4467,99
1039,77
3155,8
1503,62
2675,34
3734,62
234,47
4466,25
3402,82
2449,100
4322,100
3261,31
1076,11
3547,60
4556,99
2308,19
157,84
628,61
1967,28
4514,86
1958,85
4055,36
1242,14
767,55
998,75
1447,85
1332,62
1124,40
4770,39
3923,42
1516,87
1689,51
3640,40
364,62
2001,36
3519,59
4167,42
2808,1
117,14
4198,46
2820,70
685,24
2009,42
590,26
87,45
1797,22
2217,30
1111,70
2203,28
3414,12
78,65
504,44
83,77
4496,79
4164,37
2543,61
1122,8
4224,51
4355,57
3244,30
185,30
4879,39
2522,27
2384,1
87,5
2024,20
2507,5
3342,22
4247,28
3149,4
4293,58
2066,22
283,26
2069,84
2362,47
4367,16
4718,13
1601,92
617,65
1068,6
2950,2
1516,88
355,32
4868,59
1021,92
1423,14
4640,77
774,25
669,9
1949,97
973,99
4235,14
4021,24
4053,55
3683,100
4688,32
4770,81
2726,5
3392,9
3043,18
4657,67
2098,32
422,55
2086,84
4783,98
4449,34
2244,48
2706,5
2983,55
2418,85
631,10
591,66
3874,9
467,18
1568,2
3472,23
2573,45
2168,49
1655,65
1070,55
4346,44
3279,5
2946,71
3888,33
4763,71
2606,42
2080,41
4146,28
3491,93
386,36
4176,87
2475,61
3785,34
3613,29
4493,6
2311,58
4217,84
1782,60
3576,14
3827,85
740,47
2586,61
1142,56
1103,19
4500,45
2339,33
4705,61
2295,37
931,97
2126,70
747,74
1556,30
1987,97
4970,27
1846,63
2211,85
3448,86
4229,27
3419,91
4546,90
2355,66
1902,57
540,46
2007,63
4514,27
1439,77
3806,57
2522,19
3253,21
3258,95
4790,74
2787,81
2055,97
2990,84
3567,66
3654,17
3964,99
3362,20
2205,75
3491,15
2540,86
4992,37
301,42
2174,87
2704,85
4865,48
1715,22
3465,47
3790,26
4593,42
2152,63
3799,8
4847,81
1962,97
2263,11
3504,45
747,26
4115,80
618,27
1765,12
1318,41
1061,50
4571,52
2837,16
3820,12
3455,62
4949,45
4844,15
347,41
435,55
67,63
4477,11
1336,39
4565,13
3635,81
2287,11
4583,73
4002,1
3695,29
2033,83
4096,36
3866,2
1954,37
3244,70
2462,2
3185,85
68,67
447,10
1269,90
4826,20
4238,85
2516,52
4999,63
1458,20
3735,4
2082,78
4211,86
369,84
4330,33
3966,16
4637,86
1576,70
843,20
2173,40
2944,62
1649,31
3295,100
2865,12
1945,47
104,37
3033,69
2031,56
250,59
3007,18
1313,94
4741,55
1166,55
2282,45
285,11
979,83
4559,67
2616,97
1833,90
4681,32
1357,35
2078,23
343,98
4358,60
1077,89
471,48
590,34
1796,46
1545,66
4146,72
3061,82
4163,90
4599,99
3102,67
3114,50
1246,79
57,98
2726,81
1928,33
4466,57
4748,48
888,59
4349,81
3018,92
1146,45
1721,19
4108,59
1484,90
2870,64
2128,1
4396,53
4636,24
3905,42
1916,15
3417,83
640,69
3323,34
4132,73
4394,31
994,64
1748,87
4692,39
1004,98
4773,92
3612,3
3153,25
1979,72
147,51
4854,43
3845,80
4561,56
2707,23
1023,28
3428,36
3214,5
287,68
1378,88
4928,24
345,100
3569,8
682,89
4543,75
3686,29
362,93
2634,33
1175,94
2634,92
3501,58
4795,54
2707,3
3955,72
1166,44
998,20
2899,46
4002,57
1383,87
2253,8
4500,79
1950,10
4759,14
1712,11
1574,37
1398,22
968,71
4301,99
3891,94
406,5
3702,43
1090,91
2584,72
184,69
44,33
3850,85
2723,86
4183,77
1100,61
235,11
3217,100
2163,63
4760,99
4632,91
2555,77
881,1
4,59
2474,36
1923,99
1850,36
3911,56
3838,64
2950,56
1128,85
248,41
4473,85
603,49
943,47
3425,67
2915,44
3282,57
2524,83
1958,74
3545,68
424,70
1776,85
2743,71
4108,29
628,92
1092,43
1329,93
1835,49
2050,32
1811,63
1592,44
4282,23
2312,5
3303,68
1464,76
3499,99
4121,91
2311,5
4566,99
1755,79
4319,19
508,26
1287,63
2563,73
730,43
3337,57
1523,98
1429,93
4048,77
2562,60
2240,30
2349,66
1627,10
2901,49
711,42
4527,74
2499,31
3190,92
4423,99
4828,97
903,1
952,37
1021,35
4723,27
49,76
4989,2
3607,76
1273,22
614,49
4389,72
332,39
2108,46
1607,76
28,8
4787,46
704,23
4173,68
1858,98
4634,80
279,35
4970,11
2055,90
783,19
980,83
3656,88
2638,5
3383,2
2277,95
2847,76
1118,78
1230,96
2274,60
3736,67
874,82
3796,44
4013,10
1516,61
840,52
1993,99
4879,7
2193,61
4694,18
1378,49
1618,85
3525,89
3023,54
3840,100
4586,27
3511,11
1922,55
3498,32
2539,84
4038,12
218,40
3922,42
2323,91
2492,100
4571,27
1983,73
4969,86
1745,56
377,73
4963,59
253,59
1847,46
621,27
3187,32
219,24
558,4
4608,11
4285,72
2918,80
3199,88
4889,66
485,39
3614,57
2389,51
4337,2
4504,14
92,12
73,79
1534,2
4571,86
2617,86
1099,84
3070,28
3661,87
3988,50
1987,28
765,87
263,18
4498,65
388,27
2546,61
2911,31
4228,51
963,98
4522,57
4534,60
2698,30
2750,11
730,76
1747,24
2948,76
4966,40
2411,21
3602,99
1433,100
3446,20
4335,59
