date,service_id,counts,status,owner_id,customer_id
1/1/2024,221,7,تم التأكيد,89,437
1/2/2024,99,8,تم التأكيد,32,4886
1/3/2024,492,2,تم التأكيد,37,3385
1/4/2024,197,1,تم التأكيد,55,1090
1/5/2024,66,4,تم التأكيد,56,3932
1/6/2024,408,1,تم التأكيد,95,494
1/7/2024,263,3,تم التأكيد,41,2348
1/8/2024,450,7,تم التأكيد,73,695
1/9/2024,198,5,تم التأكيد,100,1384
1/10/2024,376,1,تم التأكيد,55,1409
1/11/2024,354,5,تم التأكيد,65,3226
1/12/2024,178,7,تم التأكيد,80,1973
1/13/2024,287,7,تم التأكيد,63,4770
1/14/2024,42,1,تم التأكيد,20,2378
1/15/2024,376,1,تم التأكيد,56,499
1/16/2024,316,3,تم التأكيد,63,3685
1/17/2024,285,8,تم التأكيد,97,4320
1/18/2024,237,2,تم التأكيد,24,4285
1/19/2024,406,3,تم التأكيد,66,4645
1/20/2024,488,9,تم التأكيد,62,3754
1/21/2024,269,9,تم التأكيد,89,1233
1/22/2024,99,5,تم التأكيد,3,4715
1/23/2024,288,3,تم التأكيد,23,998
1/24/2024,23,9,تم التأكيد,35,2703
1/25/2024,138,4,تم التأكيد,33,590
1/26/2024,109,1,تم التأكيد,13,474
1/27/2024,453,5,تم التأكيد,29,1883
1/28/2024,407,9,تم التأكيد,22,4879
1/29/2024,313,1,تم التأكيد,41,2158
1/30/2024,240,9,تم التأكيد,65,859
1/31/2024,15,4,تم التأكيد,3,4298
2/1/2024,345,10,تم التأكيد,7,1581
2/2/2024,306,7,تم التأكيد,1,3258
2/3/2024,135,6,تم التأكيد,36,3456
2/4/2024,60,10,تم التأكيد,85,1134
2/5/2024,293,7,تم التأكيد,76,1474
2/6/2024,268,1,تم التأكيد,50,3837
2/7/2024,426,10,تم التأكيد,40,3887
2/8/2024,158,4,تم التأكيد,69,4129
2/9/2024,246,7,تم التأكيد,81,18
2/10/2024,328,10,تم التأكيد,91,4832
2/11/2024,42,3,تم التأكيد,19,1320
2/12/2024,5,5,تم التأكيد,17,4176
2/13/2024,374,9,تم التأكيد,32,2879
2/14/2024,118,3,تم التأكيد,55,982
2/15/2024,107,10,تم التأكيد,2,3175
2/16/2024,448,7,تم التأكيد,36,2034
2/17/2024,441,5,تم التأكيد,67,4294
2/18/2024,140,9,تم التأكيد,66,299
2/19/2024,348,10,تم التأكيد,77,322
2/20/2024,369,9,تم التأكيد,47,904
2/21/2024,31,5,تم التأكيد,41,2688
2/22/2024,159,1,تم التأكيد,58,2948
2/23/2024,21,3,تم التأكيد,52,553
2/24/2024,1,10,تم التأكيد,39,4296
2/25/2024,246,5,تم التأكيد,42,524
2/26/2024,53,1,تم التأكيد,51,3152
2/27/2024,342,5,تم التأكيد,9,4108
2/28/2024,213,6,تم التأكيد,80,2420
2/29/2024,260,8,تم التأكيد,86,163
3/1/2024,398,6,تم التأكيد,48,4416
3/2/2024,204,9,تم التأكيد,99,2504
3/3/2024,435,7,تم التأكيد,14,4755
3/4/2024,75,3,تم التأكيد,89,2603
3/5/2024,302,10,تم التأكيد,59,2959
3/6/2024,370,7,تم التأكيد,67,4397
3/7/2024,102,2,تم التأكيد,50,2827
3/8/2024,14,1,تم التأكيد,87,4581
3/9/2024,474,7,تم التأكيد,52,1103
3/10/2024,100,10,تم التأكيد,15,1027
3/11/2024,465,7,تم التأكيد,22,342
3/12/2024,198,5,تم التأكيد,2,1200
