content,rate,date,customer_id,owner_id,reservation_id
خدمة رائعة,2,1/1/2024,2309,6,1
جيدة,4,1/2/2024,1311,21,2
ممتازة,4,1/3/2024,2916,95,3
خدمة رائعة,3,1/4/2024,2236,78,4
جيدة,2,1/5/2024,4328,51,5
ممتازة,5,1/6/2024,2222,9,6
خدمة رائعة,5,1/7/2024,1383,63,7
جيدة,5,1/8/2024,2854,46,8
ممتازة,5,1/9/2024,4379,22,9
خدمة رائعة,1,1/10/2024,2531,1,10
جيدة,4,1/11/2024,1981,80,11
ممتازة,4,1/12/2024,3892,79,12
خدمة رائعة,5,1/13/2024,608,31,13
جيدة,5,1/14/2024,1243,43,14
ممتازة,1,1/15/2024,4809,97,15
خدمة رائعة,1,1/16/2024,2714,45,16
جيدة,4,1/17/2024,4338,42,17
ممتازة,3,1/18/2024,1061,12,18
خدمة رائعة,2,1/19/2024,1996,96,19
جيدة,2,1/20/2024,1410,2,20
ممتازة,3,1/21/2024,4970,24,21
خدمة رائعة,3,1/22/2024,1885,15,22
جيدة,4,1/23/2024,2351,85,23
ممتازة,4,1/24/2024,589,32,24
خدمة رائعة,1,1/25/2024,4904,27,25
جيدة,1,1/26/2024,3220,61,26
ممتازة,2,1/27/2024,823,42,27
خدمة رائعة,3,1/28/2024,315,77,28
جيدة,5,1/29/2024,427,15,29
ممتازة,1,1/30/2024,2237,18,30
خدمة رائعة,2,1/31/2024,4623,86,31
جيدة,2,2/1/2024,534,46,32
ممتازة,4,2/2/2024,3322,53,33
خدمة رائعة,2,2/3/2024,2717,41,34
جيدة,2,2/4/2024,4578,8,35
ممتازة,1,2/5/2024,90,14,36
خدمة رائعة,4,2/6/2024,4818,86,37
جيدة,2,2/7/2024,2148,35,38
ممتازة,5,2/8/2024,2018,20,39
خدمة رائعة,3,2/9/2024,995,22,40
جيدة,2,2/10/2024,2808,88,41
ممتازة,5,2/11/2024,490,38,42
خدمة رائعة,2,2/12/2024,4510,81,43
جيدة,5,2/13/2024,147,99,44
ممتازة,4,2/14/2024,4626,34,45
خدمة رائعة,3,2/15/2024,4976,43,46
جيدة,4,2/16/2024,2840,57,47
ممتازة,3,2/17/2024,22,50,48
خدمة رائعة,4,2/18/2024,1668,21,49
جيدة,3,2/19/2024,1409,86,50
ممتازة,3,2/20/2024,4567,34,51
خدمة رائعة,2,2/21/2024,1502,29,52
جيدة,2,2/22/2024,466,31,53
ممتازة,4,2/23/2024,4057,54,54
خدمة رائعة,3,2/24/2024,699,81,55
جيدة,3,2/25/2024,2811,2,56
ممتازة,5,2/26/2024,1417,50,57
خدمة رائعة,3,2/27/2024,763,63,58
جيدة,4,2/28/2024,2693,63,59
ممتازة,3,2/29/2024,4860,46,60
خدمة رائعة,4,3/1/2024,3347,71,61
جيدة,5,3/2/2024,4697,83,62
ممتازة,4,3/3/2024,1590,90,63
خدمة رائعة,2,3/4/2024,6,34,64
جيدة,3,3/5/2024,3900,3,65
